,gname,country_txt
633,M-19 (Movement of April 19),Colombia
634,Unknown,Colombia
635,Popular Liberation Army (EPL),Colombia
636,Pedro Leon Arboleda (PLA),Colombia
637,Popular Liberation Army (EPL),Colombia
638,Unknown,Colombia
639,Unknown,Colombia
640,Revolutionary Armed Forces of Colombia (FARC),Colombia
641,Unknown,Colombia
642,Popular Liberation Army (EPL),Colombia
643,Unknown,Colombia
644,Unknown,Colombia
645,Students,Colombia
646,Montoneros (Argentina),Argentina
647,Montoneros (Argentina),Argentina
648,Montoneros (Argentina),Argentina
649,Popular Liberation Army (EPL),Colombia
650,Unknown,Colombia
651,Unknown,Colombia
652,Revolutionary Armed Forces of Colombia (FARC),Colombia
653,Revolutionary Armed Forces of Colombia (FARC),Colombia
654,Unknown,Colombia
655,Death Squad,Brazil
656,Unknown,Colombia
657,Montoneros (Argentina),Argentina
658,Montoneros (Argentina),Argentina
659,Montoneros (Argentina),Argentina
660,Popular Liberation Army (EPL),Colombia
661,Popular Liberation Army (EPL),Colombia
662,Unknown,Colombia
663,Popular Liberation Army (EPL),Colombia
664,Popular Liberation Army (EPL),Colombia
665,Unknown,Colombia
666,Brigadas Rojas,Colombia
667,Unknown,Colombia
668,Unknown,Colombia
669,Unknown,Colombia
670,Montoneros (Argentina),Argentina
671,Revolutionary Armed Forces of Colombia (FARC),Colombia
672,Revolutionary Armed Forces of Colombia (FARC),Colombia
673,M-19 (Movement of April 19),Colombia
674,M-19 (Movement of April 19),Colombia
675,Unknown,Colombia
676,Popular Liberation Army (EPL),Colombia
677,Popular Liberation Army (EPL),Colombia
678,Popular Liberation Army (EPL),Colombia
679,Unknown,Colombia
